"country","net_transaction_value","commercial_invoice_count","transaction_lines"
"United Kingdom",8189252.304,21391,487806
"Netherlands",284661.54,100,2367
"EIRE",262993.38,360,8180
"Germany",221509.47,603,9478
"France",197335.11,461,8541
"Australia",137009.77,69,1255
"Switzerland",56363.05,74,1993
"Spain",54756.03,105,2527
"Belgium",40910.96,119,2069
"Sweden",36585.41,46,461
"Japan",35340.62,28,358
"Norway",35163.46,40,1085
"Portugal",29302.97,71,1510
"Finland",22326.74,48,695
"Channel Islands",20076.39,33,757
"Denmark",18768.14,21,389
"Italy",16890.51,55,803
"Cyprus",12858.76,20,611
"Austria",10154.32,19,401
"Hong Kong",9908.24,15,284
"Singapore",9120.39,10,229
"Israel",7901.97,9,294
"Poland",7213.14,24,341
"Unspecified",4740.94,13,442
"Greece",4710.52,6,146
"Iceland",4310,7,182
"Canada",3666.38,6,151
"Malta",2505.47,10,127
"United Arab Emirates",1902.28,3,68
"USA",1730.92,7,291
"Lebanon",1693.88,1,45
"Lithuania",1661.06,4,35
"European Community",1291.75,5,61
"Brazil",1143.6,1,32
"RSA",1002.31,1,57
"Czech Republic",707.72,5,30
"Bahrain",548.4,4,19
"Saudi Arabia",131.17,2,10
