"transaction_month","net_transaction_value","commercial_invoice_count","transaction_lines"
2010-12-01,746723.61,1885,41710
2011-01-01,558448.56,1346,34760
2011-02-01,497026.41,1319,27352
2011-03-01,682013.98,1772,36193
2011-04-01,492367.841,1486,29440
2011-05-01,722094.1,1995,36538
2011-06-01,689977.23,1862,36425
2011-07-01,680156.991,1745,39079
2011-08-01,703510.58,1639,34931
2011-09-01,1017596.682,2170,49701
2011-10-01,1069368.23,2402,59731
2011-11-01,1456145.8,3210,83077
2011-12-01,432719.06,965,25193
