"stock_code","description","gross_sales_value","units_sold"
"DOT","DOTCOM POSTAGE",206248.77,706
"22423","REGENCY CAKESTAND 3 TIER",174156.54,13851
"23843","PAPER CRAFT , LITTLE BIRDIE",168469.6,80995
"85123A","WHITE HANGING HEART T-LIGHT HOLDER",104284.24,37580
"47566","PARTY BUNTING",99445.23,18283
"85099B","JUMBO BAG RED RETROSPOT",94159.81,48371
"23166","MEDIUM CERAMIC TOP STORAGE JAR",81700.92,78033
"POST","POSTAGE",78119.88,3151
"M","Manual",77750.27,6984
"23084","RABBIT NIGHT LIGHT",66870.03,30739
"22086","PAPER CHAIN KIT 50'S CHRISTMAS",64875.59,19329
"84879","ASSORTED COLOUR BIRD ORNAMENT",58927.62,36362
"79321","CHILLI LIGHTS",54096.36,10302
"23298","SPOTTY BUNTING",42513.48,8320
"22386","JUMBO BAG PINK POLKADOT",42401.01,21448
"21137","BLACK RECORD COVER FRAME",40633.38,11651
"22502","PICNIC BASKET WICKER 60 PIECES",39619.5,61
"23284","DOORMAT KEEP CALM AND COME IN",38133.64,5487
"22720","SET OF 3 CAKE TINS PANTRY DESIGN",38108.89,7483
"22960","JAM MAKING SET WITH JARS",37082.13,8695
"82484","WOOD BLACK BOARD ANT WHITE FINISH",35966.92,6012
"20725","LUNCH BAG RED RETROSPOT",35572.36,19232
"22197","POPCORN HOLDER",34288.67,36749
"22178","VICTORIAN GLASS HANGING T-LIGHT",33146.82,24275
"22114","HOT WATER BOTTLE TEA AND SYMPATHY",32973.44,5740
"22910","PAPER CHAIN KIT VINTAGE CHRISTMAS",32843.84,10594
"22112","CHOCOLATE HOT WATER BOTTLE",32826.58,6017
"85099F","JUMBO BAG STRAWBERRY",32495.59,17237
"22469","HEART OF WICKER SMALL",32094.6,17963
"23245","SET OF 3 REGENCY CAKE TINS",31118.55,6345
"21931","JUMBO STORAGE BAG SUKI",30764.01,13651
"22727","ALARM CLOCK BAKELIKE RED",30644.87,7800
"23199","JUMBO BAG APPLES",30450.69,14908
"22470","HEART OF WICKER LARGE",30098.11,9887
"22355","CHARLOTTE BAG SUKI DESIGN",29254.15,18124
"22699","ROSES REGENCY TEACUP AND SAUCER",29056.92,9864
"23355","HOT WATER BOTTLE KEEP CALM",28718.8,5816
"22411","JUMBO SHOPPER VINTAGE RED PAISLEY",28577.1,12574
"20685","DOORMAT RED RETROSPOT",28049.54,4088
"85099C","JUMBO  BAG BAROQUE BLACK WHITE",28047.74,13900
"22457","NATURAL SLATE HEART CHALKBOARD",27991.61,9119
"23201","JUMBO BAG ALPHABET",27850.83,13366
"22726","ALARM CLOCK BAKELIKE GREEN",27155.28,6419
"84347","ROTATING SILVER ANGELS T-LIGHT HLDR",26425.58,9461
"21915","RED  HARMONICA IN BOX",26294.08,21903
"22666","RECIPE BOX PANTRY YELLOW DESIGN",26219.95,8269
"21175","GIN + TONIC DIET METAL SIGN",25792.47,11709
"22629","SPACEBOY LUNCH BOX",25719.02,14249
"22961","JAM MAKING SET PRINTED",25637.78,16396
"48138","DOORMAT UNION FLAG",25534.15,3751
"21181","PLEASE ONE PERSON METAL SIGN",25225.48,12274
"23173","REGENCY TEAPOT ROSES",24879.13,2766
"21621","VINTAGE UNION JACK BUNTING",24525.83,2787
"23203","JUMBO BAG VINTAGE DOILY",24489.08,11448
"22111","SCOTTIE DOG HOT WATER BOTTLE",24455.39,4655
"22722","SET OF 6 SPICE TINS PANTRY DESIGN",24436.26,5966
"22326","ROUND SNACK BOXES SET OF4 WOODLAND",24364.87,8535
"22138","BAKING SET 9 PIECE RETROSPOT",24185.27,4937
"48187","DOORMAT NEW ENGLAND",24108.39,3807
"21731","RED TOADSTOOL LED NIGHT LIGHT",23919.78,14001
"48185","DOORMAT FAIRY CAKE",23872.91,3615
"23344","JUMBO BAG 50'S CHRISTMAS",23772.07,10285
"23243","SET OF TEA COFFEE SUGAR TINS PANTRY",23489.42,4800
"22189","CREAM HEART CARD HOLDER",23435.82,8284
"21733","RED HANGING HEART T-LIGHT HOLDER",23199.24,7872
"21929","JUMBO BAG PINK VINTAGE PAISLEY",23179.06,11006
"82482","WOODEN PICTURE FRAME WHITE FINISH",23057.06,8986
"20713","JUMBO BAG OWLS",23001.06,11429
"21623","VINTAGE UNION JACK MEMOBOARD",22980.24,3269
"22139","RETROSPOT TEA SET CERAMIC 11 PC",22868.26,4518
"22090","PAPER BUNTING RETROSPOT",22785.06,7562
"22697","GREEN REGENCY TEACUP AND SAUCER",22755.5,7278
"85066","CREAM SWEETHEART MINI CHEST",22594.2,1784
"20727","LUNCH BAG  BLACK SKULL.",22346.96,12195
"15056N","EDWARDIAN PARASOL NATURAL",22152.69,3950
